"Observation station","Year","Month","Day","Time [UTC]","Global radiation mean [W/m2]"
"Parainen Utö","2020","1","1","00:00","-2.3"
"Parainen Utö","2020","1","1","01:00","-2.1"
"Parainen Utö","2020","1","1","02:00","-2.6"
"Parainen Utö","2020","1","1","03:00","-2.6"
"Parainen Utö","2020","1","1","04:00","-2.6"
"Parainen Utö","2020","1","1","05:00","-2.9"
"Parainen Utö","2020","1","1","06:00","-2.5"
"Parainen Utö","2020","1","1","07:00","-2.5"
"Parainen Utö","2020","1","1","08:00","2.7"
"Parainen Utö","2020","1","1","09:00","38.8"
"Parainen Utö","2020","1","1","10:00","53.9"
"Parainen Utö","2020","1","1","11:00","55.1"
"Parainen Utö","2020","1","1","12:00","34.9"
"Parainen Utö","2020","1","1","13:00","12.2"
"Parainen Utö","2020","1","1","14:00","1"
"Parainen Utö","2020","1","1","15:00","-1.8"
"Parainen Utö","2020","1","1","16:00","-2.2"
"Parainen Utö","2020","1","1","17:00","-2.5"
"Parainen Utö","2020","1","1","18:00","-2.3"
"Parainen Utö","2020","1","1","19:00","-2.4"
"Parainen Utö","2020","1","1","20:00","-2.1"
"Parainen Utö","2020","1","1","21:00","-2.1"
"Parainen Utö","2020","1","1","22:00","-2.2"
"Parainen Utö","2020","1","1","23:00","-2.4"
"Parainen Utö","2020","1","2","00:00","-2.2"
"Parainen Utö","2020","1","2","01:00","-2"
"Parainen Utö","2020","1","2","02:00","-2.2"
"Parainen Utö","2020","1","2","03:00","-2.2"
"Parainen Utö","2020","1","2","04:00","-2.3"
"Parainen Utö","2020","1","2","05:00","-2.1"
"Parainen Utö","2020","1","2","06:00","-2.1"
"Parainen Utö","2020","1","2","07:00","-2.2"
"Parainen Utö","2020","1","2","08:00","1.5"
"Parainen Utö","2020","1","2","09:00","23.9"
"Parainen Utö","2020","1","2","10:00","49.9"
"Parainen Utö","2020","1","2","11:00","66.5"
"Parainen Utö","2020","1","2","12:00","62.8"
"Parainen Utö","2020","1","2","13:00","33.6"
"Parainen Utö","2020","1","2","14:00","5.2"
"Parainen Utö","2020","1","2","15:00","-1.8"
"Parainen Utö","2020","1","2","16:00","-2.5"
"Parainen Utö","2020","1","2","17:00","-2.4"
"Parainen Utö","2020","1","2","18:00","-2.4"
"Parainen Utö","2020","1","2","19:00","-2.6"
"Parainen Utö","2020","1","2","20:00","-2.8"
"Parainen Utö","2020","1","2","21:00","-2.4"
"Parainen Utö","2020","1","2","22:00","-2.6"
"Parainen Utö","2020","1","2","23:00","-2.6"
"Parainen Utö","2020","1","3","00:00","-2.5"
"Parainen Utö","2020","1","3","01:00","-2.4"
"Parainen Utö","2020","1","3","02:00","-2.2"
"Parainen Utö","2020","1","3","03:00","-1.9"
"Parainen Utö","2020","1","3","04:00","-1.8"
"Parainen Utö","2020","1","3","05:00","-1.8"
"Parainen Utö","2020","1","3","06:00","-1.7"
"Parainen Utö","2020","1","3","07:00","-1.8"
"Parainen Utö","2020","1","3","08:00","4.6"
"Parainen Utö","2020","1","3","09:00","12.7"
"Parainen Utö","2020","1","3","10:00","14.7"
"Parainen Utö","2020","1","3","11:00","14.1"
"Parainen Utö","2020","1","3","12:00","19.4"
"Parainen Utö","2020","1","3","13:00","11.7"
"Parainen Utö","2020","1","3","14:00","3.9"
"Parainen Utö","2020","1","3","15:00","-1.7"
"-","2020","1","3","16:00","-"
"Parainen Utö","2020","1","3","17:00","-2.1"
"Parainen Utö","2020","1","3","18:00","-2.8"
"Parainen Utö","2020","1","3","19:00","-2.8"
"Parainen Utö","2020","1","3","20:00","-2.8"
"Parainen Utö","2020","1","3","21:00","-3.1"
"Parainen Utö","2020","1","3","22:00","-2.8"
"Parainen Utö","2020","1","3","23:00","-2.7"
"Parainen Utö","2020","1","4","00:00","-2.6"
"Parainen Utö","2020","1","4","01:00","-2.5"
"Parainen Utö","2020","1","4","02:00","-2.7"
"Parainen Utö","2020","1","4","03:00","-2.8"
"Parainen Utö","2020","1","4","04:00","-2.5"
"Parainen Utö","2020","1","4","05:00","-2.9"
"Parainen Utö","2020","1","4","06:00","-3"
"Parainen Utö","2020","1","4","07:00","-2.7"
"Parainen Utö","2020","1","4","08:00","3.4"
"Parainen Utö","2020","1","4","09:00","39.4"
"Parainen Utö","2020","1","4","10:00","61.7"
"Parainen Utö","2020","1","4","11:00","100.9"
"Parainen Utö","2020","1","4","12:00","96"
"Parainen Utö","2020","1","4","13:00","46.9"
"Parainen Utö","2020","1","4","14:00","5.9"
"Parainen Utö","2020","1","4","15:00","-2.1"
"Parainen Utö","2020","1","4","16:00","-1.9"
"Parainen Utö","2020","1","4","17:00","-1.9"
"Parainen Utö","2020","1","4","18:00","-2.2"
"Parainen Utö","2020","1","4","19:00","-2.8"
"Parainen Utö","2020","1","4","20:00","-2.4"
"Parainen Utö","2020","1","4","21:00","-1.9"
"Parainen Utö","2020","1","4","22:00","-1.9"
